"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"././help/TOC.md","Journey Orchestration Guide","","","","",""
"./help/journey-orchestration-home.md","Journey Orchestration product documentation","","","Premium","",""
"./help/using/release-notes/release-notes.md","Release Notes","Learn about release notes","","","",""
"./help/using/release-notes/documentation-updates.md","Documentation Updates","Learn about documentation updates","","","",""
"./help/using/about/about-journey-orchestration.md","About Journey Orchestration","Learn more on Journey Orchestration","","","",""
"./help/using/about/limitations.md","Journey Orchestration limitations","Learn more on Journey Orchestration limitations","","","",""
"./help/using/about/get-started.md","Get started","Discover the main steps to set up Journey Orchestration and build your first journey.","","","",""
"./help/using/about/user-interface.md","The user interface","Learn more on the user interface","","","",""
"./help/using/about/access-management.md","Access management","Learn more on access management","","","",""
"./help/using/about/troubleshooting.md","Troubleshooting","Learn more on troubleshooting","","","",""
"./help/using/event/about-events.md","About events","Learn about events","","","",""
"./help/using/event/about-data-cycle.md","Event data cycle","Learn about event data cycle","","","",""
"./help/using/event/about-creating.md","Creating an event","Learn how to create an event","","","",""
"./help/using/event/about-analytics.md","About Adobe Analytics data","Learn how to leverage Adobe Analytics data","","","",""
"./help/using/event/experience-event-schema.md","About ExperienceEvent Schemas for Journey Orchestration Events ","Learn about ExperienceEvent Schemas for Journey Orchestration Events ","","","",""
"./help/using/event/additional-steps-to-send-events-to-journey-orchestration.md","Additional steps to send events to Journey Orchestration","Learn about additional steps to send events to Journey Orchestration","","","",""
"./help/using/event/defining-the-payload-fields.md","Defining the payload fields","Learn about how to define the payload fields","","","",""
"./help/using/event/selecting-the-namespace.md","Selecting the namespace","Learn how to select the namespace","","","",""
"./help/using/event/defining-the-event-key.md","Defining the event key","Learn how to define the event key","","","",""
"./help/using/event/adding-a-condition.md","Adding a condition","Learn how to add a condition","","","",""
"./help/using/event/previewing-the-payload.md","Previewing the payload","Learn how to preview the payload","","","",""
"./help/using/datasource/about-data-sources.md","About data sources","Learn how to configure a data source ","","","",""
"./help/using/datasource/field-groups.md","Field groups","Learn about field groups","","","",""
"./help/using/datasource/adobe-experience-platform-data-source.md","Adobe Experience Platform data source ","Learn how to configure the Adobe Experience Platform data source ","","","",""
"./help/using/datasource/external-data-sources.md","External data sources ","Learn how to configure external data sources ","","","",""
"./help/using/action/action.md","About actions","Learn how to configure an action","","","",""
"./help/using/action/working-with-adobe-campaign.md","Working with Adobe Campaign","Learn about Adobe Campaign actions","","","",""
"./help/using/action/about-custom-action-configuration.md","About custom action configuration","Learn how to configure a custom action","","","",""
"./help/using/action/url-configuration.md","URL configuration","Learn about URL configuration","","","",""
"./help/using/action/defining-the-message-parameters.md","Defining the message parameters","Learn how to define the message parameters","","","",""
"./help/using/beta/acc-action.md","About Campaign Classic integration","Learn about Campaign Classic integration","","","",""
"./help/using/segment/about-segments.md","About Adobe Experience Platform segments","Learn how to configure an Adobe Experience Platform segment","","","",""
"./help/using/segment/creating-a-segment.md","Using a segment","Learn how to use a segment","","","",""
"./help/using/segment/using-a-segment.md","Using a segment","Learn how to use a segment","","","",""
"./help/using/building-journeys/journey.md","About journey building","As a business user, learn how to combine event, orchestration, and action activities to build a journey.","","","",""
"./help/using/building-journeys/using-the-journey-designer.md","Using the journey designer","Learn more on using the journey designer","","","",""
"./help/using/building-journeys/changing-properties.md","Changing properties","Learn on how to change properties","","","",""
"./help/using/building-journeys/journey-versions.md","Journey versions","Learn about journey versions","","","",""
"./help/using/building-journeys/terminating-a-journey.md","Terminating a journey","Learn how to terminate a journey","","","",""
"./help/using/building-journeys/timezone-management.md","Time zone management","Learn about time zone management","","","",""
"./help/using/building-journeys/event-activities.md","About events activities","Learn about events activities","","","",""
"./help/using/building-journeys/general-events.md","General events","Learn about general events","","","",""
"./help/using/building-journeys/reaction-events.md","Reactions events","Learn about reaction events","","","",""
"./help/using/building-journeys/segment-qualification-events.md","Segment qualification events","Learn about segment qualification events","","","",""
"./help/using/building-journeys/about-orchestration-activities.md","About orchestration activities","Learn about orchestration activities","","","",""
"./help/using/building-journeys/condition-activity.md","Condition activity","Learn about condition activities","","","",""
"./help/using/building-journeys/end-activity.md","End activity","Learn about the end activity","","","",""
"./help/using/building-journeys/wait-activity.md","Wait activity","Learn about the wait activity","","","",""
"./help/using/building-journeys/about-action-activities.md","About action activities","Learn about action activities","","","",""
"./help/using/building-journeys/using-adobe-campaign-actions.md","Using Adobe Campaign actions","Learn about Adobe Campaign actions","","","",""
"./help/using/building-journeys/using-custom-actions.md","Using custom actions","Learn about action activities","","","",""
"./help/using/building-journeys/jump.md","Jumping from one journey to another","Jumping from one journey to another","","","",""
"./help/using/building-journeys/update-profiles.md","Jumping from one journey to another","Jumping from one journey to another","","","",""
"./help/using/building-journeys/testing-the-journey.md","Testing the journey","Learn about journey testing ","","","",""
"./help/using/building-journeys/publishing-the-journey.md","Publishing the journey","Learn about journey publication","","","",""
"./help/using/building-journeys/sharing-overview.md","Journey step sharing overview","Journey step sharing overview","","","",""
"./help/using/building-journeys/sharing-common-fields.md","journeysteps events common fields","journeysteps events common fields","","","",""
"./help/using/building-journeys/sharing-execution-fields.md","journeyStep events action execution fields","journeyStep events action execution fields","","","",""
"./help/using/building-journeys/sharing-fetch-fields.md","journeyStep events data fetch fields","journeyStep events data fetch fields","","","",""
"./help/using/building-journeys/sharing-identity-fields.md","journeyStep event identity fields","journeyStep event identity fields","","","",""
"./help/using/building-journeys/sharing-journey-fields.md","journey fields","journey fields","","","",""
"./help/using/expression/expressionadvanced.md","About the advanced expression editor","Learn how to build advanced expressions","","","",""
"./help/using/expression/generalities.md","Generalities","Learn about advanced expression generalities","","","",""
"./help/using/expression/conditional-instruction.md","Conditional instruction (if, then, else)","Learn about conditional instruction","","","",""
"./help/using/expression/data-types.md","Data types","Learn about data types in advanced expressions","","","",""
"./help/using/expression/field-references.md","Field references","Learn about field references in advanced expressions","","","",""
"./help/using/expression/collection-management-functions.md","Collection management functions","Learn about data types in collection management functions","","","",""
"./help/using/expression/operators.md","Operators","Learn about operators in advanced expressions","","","",""
"./help/using/expression/journey-properties.md","Journey properties","Learn about journey properties","","","",""
"./help/using/expression/advanced-editor-use-cases.md","Using the advanced expression editor","Learn how to build advanced expressions","","","",""
"./help/using/expression/functions.md","Functions","Learn about functions","","","",""
"./help/using/functions/functioninsegment.md","inSegment","Learn about the function inSegment","","","",""
"./help/using/functions/functionavg.md","avg","Learn about the function avg","","","",""
"./help/using/functions/functioncount.md","count","Learn about the function count","","","",""
"./help/using/functions/functioncountonlynull.md","countOnlyNull","Learn about the function countOnlyNull","","","",""
"./help/using/functions/functioncountwithnull.md","countWithNull","Learn about the function countWithNull","","","",""
"./help/using/functions/functiondistinctcount.md","distinctCount","Learn about the function distinctCount","","","",""
"./help/using/functions/functiondistinctcountwithnull.md","distinctCountWithNull","Learn about the function distinctCountWithNull","","","",""
"./help/using/functions/functionmax.md","max","Learn about the function max","","","",""
"./help/using/functions/functionmin.md","min","Learn about the function min","","","",""
"./help/using/functions/functionsum.md","sum","Learn about the function sum","","","",""
"./help/using/functions/functiontobool.md","toBool","Learn about the function toBool","","","",""
"./help/using/functions/functiontodatetime.md","toDateTime","Learn about the function toDateTime","","","",""
"./help/using/functions/functiontodatetimeonly.md","toDateTimeOnly","Learn about the function toDateTime","","","",""
"./help/using/functions/functiontodecimal.md","toDecimal","Learn about the function toDecimal","","","",""
"./help/using/functions/functiontoduration.md","toDuration","Learn about the function toDuration","","","",""
"./help/using/functions/functiontointeger.md","toInteger","Learn about the function toInteger","","","",""
